id,per.capita,white.per.capita,black.per.capita,native.american.per.capita,asian.per.capita,pacific.islander.per.capita,other.per.capita,two.races.per.capita,hisp.per.capita,non.hisp.per.capita
18013974700,21921,22022,-,-,-,-,-,N,-,22022
18013974800,23646,23769,N,28664,-,-,-,13171,-,23769
18013974900,27483,28091,4072,-,N,-,10451,N,23206,27934
18015959300,23121,23386,-,-,-,-,-,7077,-,23386
18015959400,23093,23093,-,-,-,-,-,-,N,23122
18015959500,25976,26455,-,-,N,-,-,N,-,26455
18015959600,19784,20485,N,-,-,-,3687,N,1644,21887
18015959700,23631,23573,-,-,N,-,-,N,13184,23809
18015959800,23180,23513,N,N,-,-,6414,-,13464,23662
18015959900,24527,25101,-,-,-,-,-,11660,13031,25286
18017950900,25011,25311,13080,N,N,-,-,-,4628,26483
18017951000,26267,26587,-,-,-,-,N,N,9070,27821
18017951100,21181,21572,N,-,-,-,N,N,N,22083
18017951200,12868,14018,3371,-,-,-,8550,N,15410,13550
18017951300,14064,15102,8541,-,-,-,6606,N,11702,14853
18017951400,17434,18039,N,-,-,-,10636,-,12657,18981
18017951500,13311,16134,8457,4180,-,-,7916,N,7550,17849
18017951600,21097,22275,N,-,11412,-,9674,N,15535,22768
18017951700,25411,25467,N,N,-,-,-,3654,N,25742
18017951800,21518,22017,13744,N,N,-,14748,N,14379,22276
18017951900,26751,26719,-,-,N,-,49075,N,57017,26642
18019050100,24186,23477,16692,N,45216,-,-,-,-,23477
