Id,Id2,geog,hisp,non.hisp,mex,pue.ric,cub,dom,cent.amer,cos.ric,guate,hondu,nicar,pana,salva,other.cent.amer,sou.amer,argen,boli,chil,colo,ecua,parag,peru,urug,vene,other.sou.amer,other.hisp,spaniard,spanish,span.amer,all.other
1400000US18003000701,18003000701,"Census Tract 7.01, Allen County, Indiana",319,2789,212,11,6,1,19,0,6,3,1,0,9,0,48,1,0,5,4,23,0,12,0,3,0,22,3,5,0,14
1400000US18003000704,18003000704,"Census Tract 7.04, Allen County, Indiana",176,2243,133,16,2,2,8,0,0,4,0,0,4,0,6,0,0,0,1,4,0,0,1,0,0,9,0,2,0,7
1400000US18003000800,18003000800,"Census Tract 8, Allen County, Indiana",248,3865,180,13,0,0,17,0,15,2,0,0,0,0,12,0,1,2,3,6,0,0,0,0,0,26,2,6,0,18
1400000US18003000900,18003000900,"Census Tract 9, Allen County, Indiana",220,2946,158,9,0,0,14,1,3,0,0,0,10,0,20,0,0,0,0,20,0,0,0,0,0,19,0,0,0,19
1400000US18003001000,18003001000,"Census Tract 10, Allen County, Indiana",94,1153,73,4,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,2
1400000US18003001100,18003001100,"Census Tract 11, Allen County, Indiana",73,1486,58,6,0,0,4,0,3,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,3,2,0,0,1
1400000US18003001200,18003001200,"Census Tract 12, Allen County, Indiana",80,999,63,8,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
1400000US18003001300,18003001300,"Census Tract 13, Allen County, Indiana",158,2119,123,8,2,0,8,0,7,0,0,0,0,1,4,0,0,0,2,2,0,0,0,0,0,13,0,0,0,13
1400000US18003001600,18003001600,"Census Tract 16, Allen County, Indiana",407,1799,345,5,1,0,27,0,21,1,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,28,0,0,0,28
1400000US18003001700,18003001700,"Census Tract 17, Allen County, Indiana",450,1727,344,16,4,0,47,0,41,0,0,0,6,0,12,0,0,0,11,1,0,0,0,0,0,27,2,4,0,21
1400000US18003002000,18003002000,"Census Tract 20, Allen County, Indiana",704,2617,579,24,1,2,33,0,21,2,0,1,9,0,11,4,0,0,5,0,0,2,0,0,0,54,2,0,0,52
1400000US18003002100,18003002100,"Census Tract 21, Allen County, Indiana",420,1924,363,20,0,0,13,0,1,0,0,0,12,0,5,1,1,0,2,0,0,1,0,0,0,19,3,7,0,9
1400000US18003002200,18003002200,"Census Tract 22, Allen County, Indiana",595,3626,513,20,5,0,12,6,3,0,0,1,2,0,12,3,0,2,5,0,0,1,0,0,1,33,6,9,0,18
1400000US18003002300,18003002300,"Census Tract 23, Allen County, Indiana",1029,4151,767,33,6,6,132,0,88,6,0,1,33,4,9,0,2,0,4,3,0,0,0,0,0,76,0,1,0,75
1400000US18003002500,18003002500,"Census Tract 25, Allen County, Indiana",329,2823,250,26,2,0,11,0,0,5,0,0,6,0,6,0,0,0,3,0,0,1,0,2,0,34,4,4,0,26
1400000US18003002600,18003002600,"Census Tract 26, Allen County, Indiana",641,2706,561,29,0,1,15,1,4,0,3,0,7,0,8,0,0,0,4,0,0,1,0,3,0,27,5,1,0,21
1400000US18003002800,18003002800,"Census Tract 28, Allen County, Indiana",391,1674,348,7,1,0,16,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19
1400000US18003002900,18003002900,"Census Tract 29, Allen County, Indiana",486,1882,384,4,0,1,49,0,35,12,0,0,2,0,13,0,0,0,13,0,0,0,0,0,0,35,3,0,0,32
1400000US18003003000,18003003000,"Census Tract 30, Allen County, Indiana",704,2821,575,22,1,0,53,0,28,11,1,0,13,0,3,0,0,0,3,0,0,0,0,0,0,50,0,6,0,44
1400000US18003003100,18003003100,"Census Tract 31, Allen County, Indiana",534,2111,448,19,0,0,44,0,30,2,0,0,12,0,3,1,0,0,1,0,0,1,0,0,0,20,0,0,0,20
1400000US18003003200,18003003200,"Census Tract 32, Allen County, Indiana",711,4614,585,35,2,1,34,2,19,3,1,1,8,0,4,0,2,0,1,0,0,0,1,0,0,50,4,7,0,39
1400000US18003003301,18003003301,"Census Tract 33.01, Allen County, Indiana",178,2617,124,9,1,0,13,0,4,0,0,0,9,0,10,1,0,0,2,0,1,3,0,3,0,21,0,0,1,20
1400000US18003003304,18003003304,"Census Tract 33.04, Allen County, Indiana",590,3750,455,10,3,1,45,0,6,0,0,0,39,0,22,0,0,0,3,6,0,12,0,1,0,54,7,3,0,44
1400000US18003003400,18003003400,"Census Tract 34.00, Allen County, Indiana",202,4149,115,15,13,2,10,1,8,0,0,0,1,0,25,2,1,3,9,0,0,7,0,3,0,22,9,3,0,10
1400000US18003003500,18003003500,"Census Tract 35, Allen County, Indiana",148,4068,88,21,2,0,1,0,0,0,0,0,1,0,11,5,0,0,0,0,0,1,0,5,0,25,3,5,0,17
